
WINNING CREATURE
clevelandcavaliers 2272.42 228.494
bostonceltics 2035.72 29.8744
orlandomagic 2034.6 242.237
dallasmavericks 2018.92 200.067
oklahomacitythunder 1971.56 201.725
utahjazz 1965.59 310.555
losangeleslakers 1964.79 236.774
portlandtrailblazers 1917.29 132.272
denvernuggets 1910.81 429.915
phoenixsuns 1879.14 333.338
atlantahawks 1861.23 294.102
sanantoniospurs 1808.89 225.246
milwaukeebucks 1792.33 262.849
miamiheat 1619.11 205.909
charlottehornets 1600.58 297.011
houstonrockets 1456.19 191.097
torontoraptors 1453.42 204.914
neworleanspelicans 1375.95 247.702
chicagobulls 1342.27 203.983
memphisgrizzlies 1325.52 152.272
17151.2
WINNING CREATURE
clevelandcavaliers 2382.56 209.982
dallasmavericks 2117.15 134.346
orlandomagic 2052.35 288.757
bostonceltics 1983.07 139.255
utahjazz 1925.11 308.097
phoenixsuns 1900.74 280.495
losangeleslakers 1900.33 278.032
denvernuggets 1880.05 289.273
portlandtrailblazers 1869.25 130.666
sanantoniospurs 1848.27 186.06
atlantahawks 1833.45 302.449
oklahomacitythunder 1831.76 247.557
milwaukeebucks 1752.35 263.722
miamiheat 1626.32 169.737
charlottehornets 1581.57 335.105
houstonrockets 1485.98 201.352
torontoraptors 1413.61 230.134
chicagobulls 1365.47 195.708
neworleanspelicans 1360.98 149.582
memphisgrizzlies 1357.24 140.532
17159.4
WINNING CREATURE
clevelandcavaliers 2271.27 237.277
orlandomagic 2068.77 230.668
dallasmavericks 2016.48 183.755
bostonceltics 1954.01 74.7601
losangeleslakers 1932.79 301.397
denvernuggets 1914.88 311.081
utahjazz 1909.97 290.87
phoenixsuns 1878.96 327.994
portlandtrailblazers 1876.08 149.196
oklahomacitythunder 1871.67 286.052
atlantahawks 1860.85 334.975
sanantoniospurs 1857.82 190.861
milwaukeebucks 1780.54 207.059
charlottehornets 1624.62 296.396
miamiheat 1620.2 127.884
houstonrockets 1455.7 209.341
torontoraptors 1416.69 210.992
neworleanspelicans 1395.95 203.825
chicagobulls 1358.4 188.651
memphisgrizzlies 1346.03 119.023
17159.8
WINNING CREATURE
clevelandcavaliers 2359.82 291.569
dallasmavericks 2071.72 170.384
orlandomagic 2068.74 281.774
portlandtrailblazers 1959.87 79.7023
utahjazz 1956.28 319.236
losangeleslakers 1941.67 293.145
oklahomacitythunder 1911.08 171.942
bostonceltics 1903.2 116.255
sanantoniospurs 1900.89 149.562
phoenixsuns 1895.61 324.606
denvernuggets 1869.46 298.016
atlantahawks 1820.25 300.847
milwaukeebucks 1785.56 252.354
charlottehornets 1608.58 359.59
miamiheat 1606.23 191.991
houstonrockets 1457.54 221.909
torontoraptors 1419.09 252.634
chicagobulls 1382.82 180.617
neworleanspelicans 1374.95 232.661
memphisgrizzlies 1337.78 145.013
17151.8
WINNING CREATURE
clevelandcavaliers 2276.26 190.117
orlandomagic 2028.18 249.626
bostonceltics 2012.2 55.6319
portlandtrailblazers 1964.84 145.312
utahjazz 1959.54 248.653
dallasmavericks 1908.46 195.199
losangeleslakers 1900.01 310.434
phoenixsuns 1883.11 278.202
denvernuggets 1881.85 323.615
oklahomacitythunder 1878.01 255.669
sanantoniospurs 1876.05 151.577
atlantahawks 1840.86 298.003
milwaukeebucks 1751.36 219.771
miamiheat 1676.22 121.586
charlottehornets 1542.29 402.134
houstonrockets 1506.83 185.271
torontoraptors 1430.04 229.994
neworleanspelicans 1403.77 258.631
memphisgrizzlies 1397.73 114.329
chicagobulls 1302.11 247.99
17161.7
WINNING CREATURE
clevelandcavaliers 2181.5 191.97
orlandomagic 2127.86 247.609
dallasmavericks 1981.14 123.979
bostonceltics 1974.57 72.6692
utahjazz 1965.28 295.674
oklahomacitythunder 1948.76 274.086
phoenixsuns 1939.51 287.398
losangeleslakers 1914.1 275.013
portlandtrailblazers 1901.48 193.848
sanantoniospurs 1894.49 210.318
denvernuggets 1832.48 327.244
atlantahawks 1809.17 345.694
milwaukeebucks 1791.05 223.748
miamiheat 1647.08 103.81
charlottehornets 1627.34 406.74
houstonrockets 1449.47 165.764
neworleanspelicans 1405.25 247.469
torontoraptors 1366.92 315.758
chicagobulls 1357.54 203.162
memphisgrizzlies 1315.36 169.208
17152.7
WINNING CREATURE
clevelandcavaliers 2392.66 238.499
orlandomagic 2120.97 271.397
bostonceltics 1999.88 68.6996
dallasmavericks 1990.93 138.201
utahjazz 1957.99 271.086
oklahomacitythunder 1943.46 191.885
phoenixsuns 1942.95 299.313
denvernuggets 1911.22 290.853
losangeleslakers 1888.08 337.141
atlantahawks 1885.01 312.16
portlandtrailblazers 1879.88 145.465
sanantoniospurs 1830.49 206.384
milwaukeebucks 1753.95 244.24
miamiheat 1639.81 126.009
charlottehornets 1615.52 360.849
houstonrockets 1496.87 193.854
torontoraptors 1442.04 182.47
chicagobulls 1396.86 180.964
memphisgrizzlies 1319.94 181.659
neworleanspelicans 1318.86 251.788
17144.8
WINNING CREATURE
clevelandcavaliers 2415.51 255.286
orlandomagic 2067.46 294.466
dallasmavericks 2045.72 121.57
bostonceltics 2040.83 112.685
portlandtrailblazers 1968.79 86.4315
utahjazz 1937.28 269.151
denvernuggets 1917.39 362.587
phoenixsuns 1907.93 351.731
losangeleslakers 1889.68 295.088
oklahomacitythunder 1867.72 252.744
sanantoniospurs 1832.46 167.955
atlantahawks 1815.52 336.188
milwaukeebucks 1713.34 263.287
miamiheat 1664.15 137.499
charlottehornets 1619.31 296.269
houstonrockets 1489.48 197.419
torontoraptors 1464.29 195.704
chicagobulls 1369.65 177.195
memphisgrizzlies 1281.25 138.78
neworleanspelicans 1272.72 207.059
17149.9
WINNING CREATURE
clevelandcavaliers 2233.13 260.476
orlandomagic 2076.05 303.027
bostonceltics 2051.27 75.8102
dallasmavericks 2011.08 180.882
phoenixsuns 1935.45 302.338
utahjazz 1928.76 390.938
denvernuggets 1918.56 326.107
atlantahawks 1897.11 287.139
sanantoniospurs 1895.26 189.512
oklahomacitythunder 1890.39 208.398
losangeleslakers 1875.97 331.955
portlandtrailblazers 1867.71 148.072
milwaukeebucks 1769.17 203.851
miamiheat 1630.64 170.147
charlottehornets 1626 338.226
houstonrockets 1488.28 241.041
torontoraptors 1438.67 203.599
chicagobulls 1404.41 144.996
neworleanspelicans 1369.87 210.189
memphisgrizzlies 1356.34 135.374
17146.5
WINNING CREATURE
clevelandcavaliers 2216.23 231.25
orlandomagic 2131.14 267.255
dallasmavericks 2011.36 147.382
portlandtrailblazers 1990.92 127.348
bostonceltics 1964.41 49.7668
