
WINNING CREATURE
miamiheat 2593.67 220.864
oklahomacitythunder 2318.31 190.588
sanantoniospurs 2076.28 279.367
denvernuggets 2076.02 359.754
losangelesclippers 2054.24 238.96
memphisgrizzlies 1958.95 292.507
newyorkknicks 1798.43 312.203
houstonrockets 1789.41 228.525
losangeleslakers 1740.98 309.127
indianapacers 1730.32 248.948
goldenstatewarriors 1721.87 250.74
chicagobulls 1716.58 197.099
brooklynnets 1686.56 102.547
atlantahawks 1661.54 214.684
utahjazz 1557.97 233.566
dallasmavericks 1553.49 181.591
milwaukeebucks 1341.49 171.454
bostonceltics 1334.65 306.297
minnesotatimberwolves 1304.24 137.764
torontoraptors 1225.93 244.639
17281.1
WINNING CREATURE
miamiheat 2354.15 296.548
oklahomacitythunder 2278.06 201.575
sanantoniospurs 2164.2 271.537
memphisgrizzlies 2093.59 327.307
denvernuggets 2089.23 296.099
losangelesclippers 1944.04 294.831
newyorkknicks 1908.9 250.728
houstonrockets 1851.05 193.82
goldenstatewarriors 1740.32 248.186
indianapacers 1733.72 311.846
atlantahawks 1698.04 189.369
chicagobulls 1665.44 260.243
brooklynnets 1662.71 142.123
losangeleslakers 1655.3 317.887
dallasmavericks 1566.61 211.705
utahjazz 1530.72 286.543
bostonceltics 1503.43 300.657
milwaukeebucks 1384.14 146.701
minnesotatimberwolves 1314.61 156.221
torontoraptors 1252.65 264.211
17285.6
WINNING CREATURE
miamiheat 2297.3 224.467
oklahomacitythunder 2262.24 237.891
sanantoniospurs 2130.27 310.702
denvernuggets 2103.66 355.668
memphisgrizzlies 2023.92 302.053
losangelesclippers 2023.5 283.399
newyorkknicks 1841.77 236.412
houstonrockets 1825.75 220.169
losangeleslakers 1776.54 276.262
brooklynnets 1734.64 82.7602
chicagobulls 1720.08 254.969
goldenstatewarriors 1716.8 225.126
indianapacers 1701.99 290.723
atlantahawks 1677.46 130.011
utahjazz 1578.1 263.79
dallasmavericks 1552.12 142.493
milwaukeebucks 1410.4 151.65
bostonceltics 1361.56 298.033
minnesotatimberwolves 1315.6 153.94
detroitpistons 1228.42 104.443
17281.7
WINNING CREATURE
miamiheat 2581.75 214.113
oklahomacitythunder 2306.29 201.618
denvernuggets 2154.02 278.52
sanantoniospurs 2074.76 290.362
losangelesclippers 2034.26 272.008
memphisgrizzlies 1976.19 270.021
newyorkknicks 1793.63 324.229
losangeleslakers 1759.79 285.016
brooklynnets 1749.57 123.638
houstonrockets 1742.15 307.581
indianapacers 1738.03 248.942
goldenstatewarriors 1719.62 325.317
chicagobulls 1719.33 235.215
atlantahawks 1667.22 201.22
dallasmavericks 1566.73 157.845
utahjazz 1520.54 278.668
bostonceltics 1297.67 306.074
milwaukeebucks 1271.23 169.319
