
WINNING CREATURE
oklahomacitythunder 2304.14 181.802
miamiheat 2227.57 282.872
sanantoniospurs 2222.84 206.172
losangelesclippers 2092.85 237.375
houstonrockets 1964.11 305.26
portlandtrailblazers 1926.45 326.652
phoenixsuns 1899.59 258.342
goldenstatewarriors 1857.41 287.189
torontoraptors 1849.67 121.326
memphisgrizzlies 1778.44 225.489
chicagobulls 1766.4 170.86
dallasmavericks 1739.44 219.688
indianapacers 1728.16 352.214
charlottehornets 1634.94 259.288
washingtonwizards 1584.15 79.8595
minnesotatimberwolves 1531.73 222.263
newyorkknicks 1347.9 165.42
atlantahawks 1335.87 182.54
denvernuggets 1304.34 300.021
neworleanspelicans 1275.35 194.284
16882.8
WINNING CREATURE
oklahomacitythunder 2377.42 220.9
sanantoniospurs 2126.57 269.868
miamiheat 2106.72 233.79
losangelesclippers 2081.66 259.618
phoenixsuns 1967.19 200.649
houstonrockets 1938.24 279.56
portlandtrailblazers 1868.96 258.849
goldenstatewarriors 1859.77 339.275
indianapacers 1813.33 283.831
torontoraptors 1812.56 136.656
dallasmavericks 1790.97 128.683
chicagobulls 1760.45 162.081
memphisgrizzlies 1759.25 133.499
washingtonwizards 1637.86 85.5141
charlottehornets 1557.43 270.362
minnesotatimberwolves 1479.06 253.043
atlantahawks 1406.1 139.839
newyorkknicks 1348.86 188.99
denvernuggets 1316.17 224.202
neworleanspelicans 1220.17 291.073
16892.8
WINNING CREATURE
oklahomacitythunder 2492.81 235.821
miamiheat 2245.51 157.618
sanantoniospurs 2190.02 166.005
losangelesclippers 2043.72 287.094
houstonrockets 2004.3 295.727
phoenixsuns 1957.08 227.236
goldenstatewarriors 1899.66 334.878
portlandtrailblazers 1895.42 241.766
torontoraptors 1833.69 91.5205
dallasmavericks 1800.35 214.153
memphisgrizzlies 1762.66 192.742
indianapacers 1760.14 325.952
chicagobulls 1744.6 249.764
charlottehornets 1633.85 267.557
washingtonwizards 1578.28 54.3742
minnesotatimberwolves 1486.21 319.69
newyorkknicks 1373.12 194.885
atlantahawks 1355.75 167.999
brooklynnets 1316.89 241.281
denvernuggets 1263.45 276.496
16879.8
WINNING CREATURE
oklahomacitythunder 2467.88 164.122
sanantoniospurs 2213.32 189.957
losangelesclippers 2192.35 177.496
miamiheat 2188.69 278.174
houstonrockets 1899.79 317.029
phoenixsuns 1884.29 221.576
portlandtrailblazers 1866.54 190.925
goldenstatewarriors 1847.92 318.938
dallasmavericks 1823.65 145.789
torontoraptors 1773.61 194.255
indianapacers 1771.22 301.52
chicagobulls 1759.43 236.107
memphisgrizzlies 1649.38 283.693
washingtonwizards 1614.15 80.998
charlottehornets 1562.38 285.971
minnesotatimberwolves 1488.76 228.778
atlantahawks 1366.31 222.905
newyorkknicks 1351.3 154.263
brooklynnets 1336.59 238.302
denvernuggets 1285.21 258.001
16886.9
WINNING CREATURE
miamiheat 2229.75 296.729
sanantoniospurs 2189.24 257.059
losangelesclippers 2143.24 196.763
oklahomacitythunder 2034.11 304.609
goldenstatewarriors 1885.17 316.578
phoenixsuns 1882.03 259.79
dallasmavericks 1879.31 102.364
houstonrockets 1871.39 277.135
torontoraptors 1848.19 168.777
portlandtrailblazers 1837.68 316.258
memphisgrizzlies 1787.95 168.207
indianapacers 1746.43 305.401
washingtonwizards 1639.1 57.8236
chicagobulls 1636.58 191.863
charlottehornets 1611.9 249.137
minnesotatimberwolves 1428.39 301.523
newyorkknicks 1426.18 126.714
denvernuggets 1334.73 231.965
atlantahawks 1330.48 179.942
neworleanspelicans 1283.18 226.187
16896.2
WINNING CREATURE
oklahomacitythunder 2687.73 243.553
sanantoniospurs 2187.46 204.443
losangelesclippers 2136.11 294.235
miamiheat 2126.27 217.139
houstonrockets 1977 238.324
phoenixsuns 1953.29 291.915
dallasmavericks 1880.58 64.4741
portlandtrailblazers 1869.56 287.77
goldenstatewarriors 1840.29 265.679
chicagobulls 1820.44 196.26
torontoraptors 1794.6 165.453
indianapacers 1722.12 313.788
memphisgrizzlies 1709.09 305.631
charlottehornets 1617.03 301.648
washingtonwizards 1564.13 141.999
minnesotatimberwolves 1454.11 265.273
newyorkknicks 1320.65 152.494
brooklynnets 1307.73 300.139
atlantahawks 1289.71 208.615
denvernuggets 1243.87 263.458
16875.9
WINNING CREATURE
oklahomacitythunder 2336.45 251.473
losangelesclippers 2162.48 226.514
miamiheat 2142.02 223.706
sanantoniospurs 2130.43 250.197
houstonrockets 1908.42 271.437
goldenstatewarriors 1884.95 293.762
portlandtrailblazers 1872.56 277.478
dallasmavericks 1843.53 133.48
phoenixsuns 1839.49 313.049
torontoraptors 1812.63 179.897
memphisgrizzlies 1797.97 198.559
chicagobulls 1758.44 184.283
indianapacers 1739.35 264.029
charlottehornets 1611.77 260.291
washingtonwizards 1587.25 112.844
minnesotatimberwolves 1490.37 263.045
newyorkknicks 1397.52 134.803
atlantahawks 1340.68 187.58
denvernuggets 1288.92 232.13
neworleanspelicans 1275.9 222.208
16890.7
WINNING CREATURE
oklahomacitythunder 2233.52 267.776
losangelesclippers 2213.64 237.663
sanantoniospurs 2174.8 223.97
miamiheat 2061.13 276.1
portlandtrailblazers 1939.67 251.832
goldenstatewarriors 1927.22 279.512
dallasmavericks 1914.53 83.2787
phoenixsuns 1899.26 227.054
houstonrockets 1876.88 260.515
torontoraptors 1829.01 106.03
memphisgrizzlies 1761.69 212.233
indianapacers 1728.86 357.417
chicagobulls 1720.43 173.178
washingtonwizards 1632.96 103.913
charlottehornets 1529.98 248.153
minnesotatimberwolves 1477.69 262.58
neworleanspelicans 1373.6 190.4
newyorkknicks 1357.84 164.963
denvernuggets 1341.45 272.097
atlantahawks 1293.4 230.052
16887.2
WINNING CREATURE
losangelesclippers 2292.64 185.261
sanantoniospurs 2247.64 223.279
miamiheat 2176.71 224.413
oklahomacitythunder 2150.12 237.719
phoenixsuns 2008.26 273.529
portlandtrailblazers 1976.31 289.792
houstonrockets 1961.08 274.378
chicagobulls 1906.72 169.316
goldenstatewarriors 1863.72 410.548
indianapacers 1800.12 344.712
dallasmavericks 1798.69 222.996
torontoraptors 1785.83 110.493
memphisgrizzlies 1762.57 212.352
charlottehornets 1680.18 273.552
washingtonwizards 1589.69 48.5921
minnesotatimberwolves 1551.83 221.654
newyorkknicks 1353.8 218.448
atlantahawks 1318.66 259.235
denvernuggets 1293.21 247.536
neworleanspelicans 1187.76 223.427
16872.8
WINNING CREATURE
oklahomacitythunder 2304.57 220.925
sanantoniospurs 2284.97 205.223
miamiheat 2230.72 276.761
losangelesclippers 2205.63 191.914
houstonrockets 1966.93 226.577
goldenstatewarriors 1932.34 255.935
phoenixsuns 1905.11 199.514
portlandtrailblazers 1904.33 234.729
torontoraptors 1824.71 167.752
chicagobulls 1772 163.23
memphisgrizzlies 1769.57 216.239
dallasmavericks 1767.35 200.221
indianapacers 1717.52 355.712
charlottehornets 1627.35 255.297
washingtonwizards 1606.86 96.7562
minnesotatimberwolves 1537.65 229.747
newyorkknicks 1343.4 170.165
atlantahawks 1317.98 204.937
denvernuggets 1293.88 288.426
neworleanspelicans 1202.05 272.016
16878
