
WINNING CREATURE
16830.7
WINNING CREATURE
dallasmavericks 2317.33 171.443
sanantoniospurs 2285.68 193.823
sacramentokings 1966.57 267.009
portlandtrailblazers 1819.38 156.075
detroitpistons 1816.87 255.73
houstonrockets 1771.76 249.462
philadelphiassers 1742.92 126.575
brooklynnets 1723.82 356.411
minnesotatimberwolves 1723.2 323.583
losangeleslakers 1708.06 289.012
phoenixsuns 1678.48 345.49
bostonceltics 1647.13 239.352
utahjazz 1633.03 333.247
charlottehornets 1576.82 233.105
indianapacers 1571.79 364.309
neworleanspelicans 1568.31 265.309
goldenstatewarriors 1556.62 213.96
oklahomacitythunder 1548.66 254.861
milwaukeebucks 1432.96 298.136
orlandomagic 1427.48 321.085
16825.2
