
WINNING CREATURE
losangeleslakers 2303.7 243.747
sanantoniospurs 2278.19 259.114
portlandtrailblazers 2028.38 120.396
phoenixsuns 2025.27 372.57
sacramentokings 2022.52 272.691
philadelphiassers 1991.88 207.473
dallasmavericks 1968.58 197.554
minnesotatimberwolves 1945.4 322.254
utahjazz 1870.89 162.571
miamiheat 1787.55 225.017
charlottehornets 1755.59 258.103
houstonrockets 1742.32 134.312
milwaukeebucks 1603.32 211.193
torontoraptors 1589.87 167.635
indianapacers 1516.08 199.313
newyorkknicks 1452.47 317.116
oklahomacitythunder 1418.13 228.011
orlandomagic 1407.93 241.036
denvernuggets 1365.69 350.73
neworleanspelicans 1265.14 111.58
16824.7
WINNING CREATURE
sanantoniospurs 2192.85 274.305
losangeleslakers 2175.4 265.206
philadelphiassers 2039.65 196.328
phoenixsuns 1975.07 366.012
dallasmavericks 1957.75 71.51
portlandtrailblazers 1870.43 175.708
utahjazz 1866.78 128.145
charlottehornets 1834.14 245.428
miamiheat 1824.15 226.375
minnesotatimberwolves 1769.44 341.71
sacramentokings 1758.69 330.048
milwaukeebucks 1688.7 237.574
houstonrockets 1682.18 177.973
torontoraptors 1596.5 184.443
neworleanspelicans 1568.37 83.6052
newyorkknicks 1549.63 370.307
indianapacers 1474.87 274.574
orlandomagic 1470.24 192.036
oklahomacitythunder 1407.27 288.565
denvernuggets 1326.13 331.201
16835
WINNING CREATURE
sanantoniospurs 2171.34 284.211
losangeleslakers 2102.87 256.995
philadelphiassers 2025.62 253.83
phoenixsuns 1996.35 374.054
utahjazz 1923.35 128.384
dallasmavericks 1920.05 134.519
minnesotatimberwolves 1870.52 283.766
portlandtrailblazers 1868.74 166.104
sacramentokings 1852.09 326.371
charlottehornets 1806.65 234.505
houstonrockets 1788.55 140.319
miamiheat 1787.11 253.605
milwaukeebucks 1707.12 316.988
torontoraptors 1599.99 215.146
newyorkknicks 1591.94 306.267
indianapacers 1485.6 283.267
orlandomagic 1460.26 212.772
oklahomacitythunder 1447.61 299.134
denvernuggets 1381.96 388.093
bostonceltics 1342.73 144.794
16830.9
WINNING CREATURE
sanantoniospurs 2189.27 306.805
losangeleslakers 2168.73 263.666
philadelphiassers 2117.46 211.187
dallasmavericks 2027.56 153.876
phoenixsuns 1972.47 311.159
portlandtrailblazers 1960.24 144.031
sacramentokings 1908.03 328.432
minnesotatimberwolves 1873.53 307.124
utahjazz 1862.91 157.336
miamiheat 1807.75 268.282
houstonrockets 1756.83 163.138
charlottehornets 1753.84 229.44
milwaukeebucks 1646.45 296.217
torontoraptors 1638.86 210.345
newyorkknicks 1555.47 340.418
indianapacers 1487.79 235.01
oklahomacitythunder 1476.18 237.505
denvernuggets 1433.08 277.376
orlandomagic 1410.75 214.663
losangelesclippers 1326.26 292.08
16832.1
WINNING CREATURE
sanantoniospurs 2312.4 262.236
losangeleslakers 2307.45 232.561
philadelphiassers 2209.79 248.063
phoenixsuns 2070.04 342.562
dallasmavericks 2018.78 142.414
utahjazz 1931.14 174.425
portlandtrailblazers 1846.2 225.943
sacramentokings 1819.44 311.968
miamiheat 1806.7 191.443
minnesotatimberwolves 1776.44 289.377
milwaukeebucks 1733.02 263.584
houstonrockets 1715.84 95.3302
charlottehornets 1707.96 286.716
torontoraptors 1570.86 223.882
newyorkknicks 1520.98 377.167
indianapacers 1496.53 307.202
orlandomagic 1431.63 201.153
oklahomacitythunder 1391.04 260.22
denvernuggets 1346.09 378.353
losangelesclippers 1280.75 327.999
16820.7
WINNING CREATURE
losangeleslakers 2223.44 311.23
sanantoniospurs 2211.06 256.555
philadelphiassers 2077.89 209.648
phoenixsuns 2024 331.277
dallasmavericks 1965.85 175.977
portlandtrailblazers 1957.62 153.513
sacramentokings 1942.17 275.326
utahjazz 1897.13 145.648
minnesotatimberwolves 1866.23 347.11
houstonrockets 1845.95 134.058
miamiheat 1762.09 274.437
charlottehornets 1753.87 242.25
milwaukeebucks 1715.34 243.128
torontoraptors 1677.83 173.457
newyorkknicks 1584.06 328.515
indianapacers 1508.87 231.045
oklahomacitythunder 1407.37 248.99
denvernuggets 1406.64 304.675
orlandomagic 1393.39 226.316
bostonceltics 1294.26 124.367
16829.7
WINNING CREATURE
sanantoniospurs 2157.49 298.3
phoenixsuns 2060.02 333.26
losangeleslakers 2056.03 286.478
dallasmavericks 1992.38 120.172
philadelphiassers 1967.38 200.889
sacramentokings 1938.61 279.252
portlandtrailblazers 1922.6 166.728
utahjazz 1899.02 125.39
minnesotatimberwolves 1890.67 273.252
houstonrockets 1838.8 150.285
miamiheat 1782.12 250.519
charlottehornets 1715.67 251.03
milwaukeebucks 1680.96 279.909
torontoraptors 1628.75 202.224
newyorkknicks 1587.91 277.034
oklahomacitythunder 1559.49 268.724
indianapacers 1479.61 265.941
denvernuggets 1460.56 334.078
neworleanspelicans 1456.91 144.687
orlandomagic 1370.72 247.596
16834.5
WINNING CREATURE
sanantoniospurs 2161.18 321.124
dallasmavericks 2007.3 73.4325
losangeleslakers 1992.08 314.558
phoenixsuns 1989.75 308.341
philadelphiassers 1980.37 179.277
sacramentokings 1932.95 272.773
utahjazz 1887.17 179.704
portlandtrailblazers 1879.17 185.995
minnesotatimberwolves 1862.08 310.188
miamiheat 1809.24 219.518
charlottehornets 1796.68 270.646
houstonrockets 1764.31 170.281
milwaukeebucks 1687.92 290.034
torontoraptors 1657.8 183.415
newyorkknicks 1549.84 302.529
oklahomacitythunder 1525.04 275.685
indianapacers 1480.26 237.492
orlandomagic 1473.97 156.815
neworleanspelicans 1384.05 176.808
denvernuggets 1370.76 332.028
16835.2
WINNING CREATURE
losangeleslakers 2347.96 297.714
sanantoniospurs 2209.22 362.517
sacramentokings 2112.05 250.669
phoenixsuns 2068.98 351.775
