
WINNING CREATURE
dallasmavericks 2008.92 157.706
minnesotatimberwolves 1996.33 269.095
portlandtrailblazers 1996.2 152.124
utahjazz 1963.62 126.301
philadelphiassers 1890.79 213.014
houstonrockets 1842.35 149.069
charlottehornets 1785.18 236.695
miamiheat 1723.64 288.756
milwaukeebucks 1710.49 230.012
torontoraptors 1699.34 205.131
newyorkknicks 1561.44 257.529
indianapacers 1553.93 235.599
orlandomagic 1416.07 201.501
bostonceltics 1365.25 126.416
neworleanspelicans 1363.7 111.054
oklahomacitythunder 1359 275.689
16826.2
WINNING CREATURE
losangeleslakers 2188.59 292.357
sanantoniospurs 2173.64 326.051
philadelphiassers 2076.88 234.087
phoenixsuns 2049.65 320.07
dallasmavericks 2046.72 35.8574
sacramentokings 1950.84 263.724
utahjazz 1876.05 123.64
minnesotatimberwolves 1861.69 323.007
portlandtrailblazers 1853.95 215.699
miamiheat 1832.07 224.417
charlottehornets 1812.63 228.676
houstonrockets 1716.65 227.942
milwaukeebucks 1694.43 299.923
newyorkknicks 1596.84 334.817
torontoraptors 1553.87 292.446
indianapacers 1525.15 251.9
oklahomacitythunder 1381.71 315.048
orlandomagic 1376.21 219.08
denvernuggets 1361.23 341.153
bostonceltics 1330.61 138.977
16827.6
