
WINNING CREATURE
sanantoniospurs 2294.76 240.655
oklahomacitythunder 2272.25 207.546
chicagobulls 2216.87 248.701
miamiheat 2055.62 261.196
dallasmavericks 1870.45 236.806
denvernuggets 1783.47 147.683
bostonceltics 1778.39 340.154
losangelesclippers 1756.97 359.321
indianapacers 1754.65 186.618
memphisgrizzlies 1726.5 269.71
newyorkknicks 1722.85 302.527
losangeleslakers 1688.12 368.521
atlantahawks 1658.78 261.027
philadelphiassers 1655.04 255.827
utahjazz 1620.42 374.6
houstonrockets 1611.72 263.372
orlandomagic 1568.99 222.703
phoenixsuns 1546.95 291.854
milwaukeebucks 1440.09 165.471
portlandtrailblazers 1415.94 347.643
14240.8
WINNING CREATURE
sanantoniospurs 2248.97 194.11
chicagobulls 2185.12 266.901
oklahomacitythunder 2180.3 257.064
miamiheat 2058.88 335.105
losangelesclippers 1859.52 323.157
indianapacers 1826.82 188.289
dallasmavericks 1812.27 238.352
memphisgrizzlies 1766.51 254.059
newyorkknicks 1765.65 254.743
bostonceltics 1733.95 288.978
utahjazz 1673.69 319.235
denvernuggets 1658.89 130.457
philadelphiassers 1639.42 269.183
losangeleslakers 1632.55 322.567
atlantahawks 1619.62 284.918
houstonrockets 1584.38 436.98
phoenixsuns 1572.69 269.073
orlandomagic 1535.49 235.089
portlandtrailblazers 1502.19 287.072
goldenstatewarriors 1389.94 123.454
14241.4
WINNING CREATURE
sanantoniospurs 2236.33 276.018
oklahomacitythunder 2154.26 277.5
chicagobulls 2113.68 291.434
miamiheat 2045.48 291.292
denvernuggets 1888.37 53.8869
losangelesclippers 1846.42 330.228
dallasmavericks 1824.49 243.336
memphisgrizzlies 1790.09 275.69
indianapacers 1758.92 193.876
utahjazz 1732.65 254.028
losangeleslakers 1731.26 262.36
newyorkknicks 1697.17 285.85
atlantahawks 1689.92 200.484
bostonceltics 1666.25 329.564
philadelphiassers 1647.53 265.088
phoenixsuns 1628.35 281.158
houstonrockets 1569.82 298.695
orlandomagic 1560.45 214.341
milwaukeebucks 1455.06 143.092
portlandtrailblazers 1391.89 310.854
14248.2
WINNING CREATURE
sanantoniospurs 2340.39 181.725
oklahomacitythunder 2168.36 316.732
chicagobulls 2156.15 251.568
miamiheat 2067.04 348.432
dallasmavericks 1836.94 227.636
indianapacers 1808.46 147.215
losangelesclippers 1800.29 221.01
denvernuggets 1771.96 69.7357
losangeleslakers 1770.14 256.493
bostonceltics 1742.65 290.886
newyorkknicks 1725.86 265.265
memphisgrizzlies 1701.82 319.44
atlantahawks 1669.11 200.313
philadelphiassers 1641.07 251.419
utahjazz 1604.47 370.635
houstonrockets 1592.04 289.135
orlandomagic 1584.8 226.596
phoenixsuns 1583.32 305.804
milwaukeebucks 1472.11 96.1567
portlandtrailblazers 1364.38 253.924
14245.1
WINNING CREATURE
sanantoniospurs 2406.58 183.665
chicagobulls 2269.91 175.97
oklahomacitythunder 2268.55 261.512
miamiheat 2024.41 246.358
denvernuggets 1886.25 81.6053
dallasmavericks 1822.1 236.827
indianapacers 1784.39 232.965
memphisgrizzlies 1772.75 279.158
losangelesclippers 1757.26 312.768
bostonceltics 1749.25 295.091
losangeleslakers 1689.26 316.598
atlantahawks 1652.37 198.252
houstonrockets 1648.97 188.25
phoenixsuns 1629.9 267.101
utahjazz 1615.38 337.695
newyorkknicks 1609.56 351.239
