
WINNING CREATURE
philadelphiassers 1592.57 232.8
orlandomagic 1587.39 214.673
milwaukeebucks 1423.16 110.022
portlandtrailblazers 1321.72 250.341
14254.1
WINNING CREATURE
chicagobulls 2222.76 279.65
sanantoniospurs 2177.68 257.273
oklahomacitythunder 2171.94 250.047
miamiheat 2141.33 300.151
dallasmavericks 1889.7 212.003
losangelesclippers 1825.28 329.769
indianapacers 1784.87 175.498
bostonceltics 1728.51 288.288
newyorkknicks 1723.08 310.536
losangeleslakers 1708.36 318.523
memphisgrizzlies 1702.97 279.082
denvernuggets 1698.06 148.255
philadelphiassers 1671.36 216.584
utahjazz 1666.88 305.039
atlantahawks 1640.99 233.922
houstonrockets 1603.84 282.013
phoenixsuns 1581.08 269.063
orlandomagic 1552.01 210.926
milwaukeebucks 1447.98 131.19
portlandtrailblazers 1425.38 308.324
14244.2
WINNING CREATURE
sanantoniospurs 2224.96 249.244
oklahomacitythunder 2217.18 321.609
chicagobulls 2164.23 204.25
miamiheat 2099.41 298.475
dallasmavericks 1886.67 152.513
denvernuggets 1808.59 182.894
losangelesclippers 1807.26 440.691
newyorkknicks 1732.71 214.769
losangeleslakers 1730.65 249.349
indianapacers 1729.96 193.152
memphisgrizzlies 1696.43 309.384
atlantahawks 1678.36 241.783
orlandomagic 1655.08 147.645
utahjazz 1646.89 380.276
bostonceltics 1618.3 337.195
phoenixsuns 1613.35 270.357
philadelphiassers 1602.77 233.638
houstonrockets 1547.59 258.024
portlandtrailblazers 1451.59 291.275
milwaukeebucks 1429.22 106.782
14240.3
WINNING CREATURE
chicagobulls 2172.42 249.81
oklahomacitythunder 2163.57 246.733
sanantoniospurs 2154.6 260.844
miamiheat 2100.13 350.776
indianapacers 1854.34 132.466
dallasmavericks 1850.59 221.205
losangelesclippers 1797.21 290.243
newyorkknicks 1739.14 262.199
denvernuggets 1733.13 142.305
bostonceltics 1710.63 279.801
memphisgrizzlies 1704.15 280.445
losangeleslakers 1693 337.293
atlantahawks 1682.85 245.33
philadelphiassers 1660.91 250.842
utahjazz 1655.41 381.503
phoenixsuns 1627.54 219.179
houstonrockets 1609.71 284.479
orlandomagic 1541.23 200.372
milwaukeebucks 1466.7 108.982
portlandtrailblazers 1416.44 345.66
14242.5
WINNING CREATURE
sanantoniospurs 2234.91 233.138
oklahomacitythunder 2200.8 305.626
chicagobulls 2195.45 229.93
miamiheat 2062.93 280.474
denvernuggets 1839.2 87.4292
indianapacers 1810.27 171.28
dallasmavericks 1765.36 260.987
bostonceltics 1753.01 308.338
losangelesclippers 1752.7 316.488
memphisgrizzlies 1749.2 290.008
newyorkknicks 1703.78 289.998
philadelphiassers 1702.21 192.99
atlantahawks 1697.33 203.117
utahjazz 1695.54 288.663
losangeleslakers 1658.3 303.519
houstonrockets 1589.05 242.957
phoenixsuns 1569.32 292.79
orlandomagic 1563.74 163.899
milwaukeebucks 1412.27 191.416
portlandtrailblazers 1345.58 332.055
14247.3
WINNING CREATURE
chicagobulls 2179.19 234.9
oklahomacitythunder 2174.5 267.524
sanantoniospurs 2133.35 290.331
miamiheat 2099.7 293.922
indianapacers 1858.7 154.755
dallasmavericks 1802.86 238.935
bostonceltics 1779.37 282.343
losangelesclippers 1740.9 309.401
philadelphiassers 1714.43 195.596
memphisgrizzlies 1705.59 271.054
denvernuggets 1705.43 206.47
newyorkknicks 1688.46 225.64
losangeleslakers 1686.91 351.533
atlantahawks 1684.1 255.142
utahjazz 1659.15 361.228
orlandomagic 1634.95 182.974
phoenixsuns 1591.81 219.105
houstonrockets 1560.54 280.937
milwaukeebucks 1460.84 103.972
goldenstatewarriors 1358.79 114.36
14245
