
WINNING CREATURE
goldenstatewarriors 2386.44 215.935
atlantahawks 2333.05 281.159
clevelandcavaliers 2097.32 277.129
losangelesclippers 2050.86 135.516
chicagobulls 1981.59 199.259
houstonrockets 1950.19 204.97
memphisgrizzlies 1937.46 232.017
sanantoniospurs 1911.73 259.163
portlandtrailblazers 1816.16 308.092
dallasmavericks 1773.47 229.853
neworleanspelicans 1771.68 350.347
torontoraptors 1711.66 156.944
oklahomacitythunder 1644.32 335.922
phoenixsuns 1596.53 182.965
washingtonwizards 1550.76 311.236
milwaukeebucks 1501.03 171.748
bostonceltics 1451.16 64.4442
utahjazz 1438.58 244.559
indianapacers 1371.05 165.367
miamiheat 1335.26 155.058
17227.1
WINNING CREATURE
goldenstatewarriors 2233.79 265.757
atlantahawks 2138.1 267.044
losangelesclippers 2046.32 206.46
memphisgrizzlies 2013.98 178.053
clevelandcavaliers 2013.52 262.498
houstonrockets 1972.54 175.937
chicagobulls 1903.33 217.454
sanantoniospurs 1889.5 285.317
neworleanspelicans 1817.43 300.128
portlandtrailblazers 1794.15 314.143
torontoraptors 1749.65 141.492
dallasmavericks 1729.52 218.483
oklahomacitythunder 1641.63 297.934
phoenixsuns 1638.74 186.268
milwaukeebucks 1552.48 113.974
utahjazz 1522.8 278.186
washingtonwizards 1448.25 316.54
indianapacers 1440.92 177.283
bostonceltics 1434.13 170.909
miamiheat 1329.16 151.139
17244.9
WINNING CREATURE
goldenstatewarriors 2331.69 226.622
atlantahawks 2272.83 214.445
clevelandcavaliers 2083.59 241.087
losangelesclippers 2060.54 167.443
memphisgrizzlies 1962.57 225.054
chicagobulls 1927 223.317
houstonrockets 1920.73 244.979
sanantoniospurs 1888.91 310.342
dallasmavericks 1837.42 207.716
portlandtrailblazers 1780.75 336.697
neworleanspelicans 1772.51 297.558
torontoraptors 1737.38 154.14
oklahomacitythunder 1634.79 353.203
phoenixsuns 1585.48 205.448
milwaukeebucks 1528.79 147.097
washingtonwizards 1489.58 341.428
utahjazz 1484.07 224.38
bostonceltics 1433.96 111.966
miamiheat 1350.71 158.341
indianapacers 1303.31 201.316
17234.2
WINNING CREATURE
goldenstatewarriors 2317.24 278.624
atlantahawks 2180.54 301.691
clevelandcavaliers 2128.35 277.683
losangelesclippers 2053.61 148.608
memphisgrizzlies 1978.36 190.094
chicagobulls 1977.76 193.767
houstonrockets 1914.43 185.1
sanantoniospurs 1908.5 366.073
portlandtrailblazers 1832.77 274.167
