
WINNING CREATURE
dallasmavericks 2362.43 174.916
phoenixsuns 2237.77 173.74
houstonrockets 2157.41 182.809
sanantoniospurs 2156.9 288.076
oklahomacitythunder 2046.97 142.435
detroitpistons 1966.76 301.143
miamiheat 1957.58 307.286
sacramentokings 1906.79 317.019
memphisgrizzlies 1703.35 211.691
denvernuggets 1703.06 309.65
minnesotatimberwolves 1697.65 162.575
chicagobulls 1552.02 233.646
philadelphiassers 1532.15 183.135
washingtonwizards 1513.49 270.621
brooklynnets 1478.99 222.926
indianapacers 1461.57 243.61
bostonceltics 1433.83 246.236
clevelandcavaliers 1427.01 313.421
losangelesclippers 1388.03 237.578
milwaukeebucks 1337.31 291.108
16649.9
WINNING CREATURE
dallasmavericks 2288.89 150.148
phoenixsuns 2223.87 183.972
houstonrockets 2179.8 132.186
sanantoniospurs 2122.61 309.341
detroitpistons 2105.87 273.405
oklahomacitythunder 2015.82 155.998
miamiheat 1966.78 262.497
sacramentokings 1859.78 286.408
denvernuggets 1742.71 303.581
memphisgrizzlies 1655.22 174.691
minnesotatimberwolves 1594.07 197.456
washingtonwizards 1535.23 299.951
indianapacers 1535.1 214.327
philadelphiassers 1513.8 190.18
chicagobulls 1507.46 255.112
brooklynnets 1465.07 244.492
clevelandcavaliers 1433.32 267.703
losangelesclippers 1430.11 254.482
bostonceltics 1414.62 293.199
newyorkknicks 1317.16 248.094
16658.5
WINNING CREATURE
dallasmavericks 2311.83 119.846
phoenixsuns 2222.89 94.8401
sanantoniospurs 2131.95 340.23
detroitpistons 2104.69 248.622
houstonrockets 2097.96 131.592
miamiheat 1958.35 273.047
oklahomacitythunder 1946.33 158.925
sacramentokings 1844.92 303.276
memphisgrizzlies 1719.06 147.78
denvernuggets 1665.07 299.024
minnesotatimberwolves 1581.15 230.55
bostonceltics 1531.53 245.65
indianapacers 1492.34 240.255
washingtonwizards 1492.12 263.208
brooklynnets 1489.47 194.161
philadelphiassers 1483.45 190.641
chicagobulls 1479.58 279.922
clevelandcavaliers 1404.5 280.59
losangelesclippers 1357.27 323.022
newyorkknicks 1316.25 281.759
16657.1
WINNING CREATURE
dallasmavericks 2378.28 203.485
sanantoniospurs 2165.74 342.533
houstonrockets 2139.8 212.178
phoenixsuns 2127.52 137.592
detroitpistons 2029.03 278.259
oklahomacitythunder 2017.96 148.028
miamiheat 1950.64 310.576
