WINNING CREATURE
sanantoniospurs 2192.69 329.773
clevelandcavaliers 2153.05 322.672
oklahomacitythunder 2119.55 236.749
torontoraptors 2071.16 305.478
losangelesclippers 1997.32 229.791
atlantahawks 1968.47 177.103
bostonceltics 1740.52 174.497
portlandtrailblazers 1733.92 244.766
miamiheat 1731.26 332.538
indianapacers 1701.64 355.871
dallasmavericks 1700.23 101.772
charlottehornets 1661.54 265.294
utahjazz 1569.45 199.09
memphisgrizzlies 1490.87 277.652
houstonrockets 1446.5 238.839
washingtonwizards 1422.49 237.378
orlandomagic 1411.43 284.006
detroitpistons 1364.67 310.348
chicagobulls 1342.6 277.984
16752.2
WINNING CREATURE
goldenstatewarriors 2458.45 237.713
sanantoniospurs 2162.47 304.299
torontoraptors 2125.41 269.425
clevelandcavaliers 2109.16 271.985
oklahomacitythunder 2015.34 272.532
losangelesclippers 2005.72 208.075
atlantahawks 1918.6 197.74
indianapacers 1835.46 246.644
miamiheat 1795.74 293.706
portlandtrailblazers 1745.79 290.561
bostonceltics 1741.58 297.065
charlottehornets 1691.97 246.605
dallasmavericks 1546.38 149.486
utahjazz 1504.21 271.029
washingtonwizards 1502.42 210.583
memphisgrizzlies 1478.72 243.166
detroitpistons 1452.39 305.59
houstonrockets 1433.84 205.735
orlandomagic 1411.54 298.286
chicagobulls 1338.78 254.587
16778.4
WINNING CREATURE
goldenstatewarriors 2632.07 329.283
sanantoniospurs 2189.26 326.73
clevelandcavaliers 2153.17 208.354
oklahomacitythunder 2069.58 309.727
torontoraptors 2064.81 333.558
losangelesclippers 1980.73 141.645
atlantahawks 1924.91 208.778
miamiheat 1827.41 238.595
portlandtrailblazers 1798.09 303.808
indianapacers 1785.23 275.037
bostonceltics 1759.74 232.833
charlottehornets 1627.68 264.749
dallasmavericks 1624.88 115.609
utahjazz 1577.6 216.832
memphisgrizzlies 1483.68 209.185
washingtonwizards 1481.44 223.763
detroitpistons 1446.51 337.61
orlandomagic 1419.37 295.038
chicagobulls 1336.5 200.623
houstonrockets 1317.25 202.493
16767.1
WINNING CREATURE
goldenstatewarriors 2701.93 242.522
oklahomacitythunder 2215.14 211.741
sanantoniospurs 2170.99 320.105
clevelandcavaliers 2126.93 311.802
torontoraptors 2057.74 298.023
losangelesclippers 2047.84 145.071
atlantahawks 1848.93 226.398
portlandtrailblazers 1741.15 321.293
charlottehornets 1716.18 245.443
indianapacers 1690.02 235.374
bostonceltics 1673.5 306.107
miamiheat 1670.76 292.595
utahjazz 1568.15 242.186
dallasmavericks 1563.74 122.387
washingtonwizards 1472.26 205.757
detroitpistons 1459.25 331.258
memphisgrizzlies 1455.24 228.964
houstonrockets 1425.7 206.882
orlandomagic 1424.43 316.135
chicagobulls 1316.36 278.145
16765.6
WINNING CREATURE
goldenstatewarriors 2644.75 225.981
torontoraptors 2151.43 279.549
sanantoniospurs 2140.94 306.053
oklahomacitythunder 2106.73 232.362
clevelandcavaliers 2102.37 271.121
losangelesclippers 1976.12 140.634
atlantahawks 1894.24 173.219
miamiheat 1779.17 241.931
indianapacers 1769.59 331.491
bostonceltics 1731.98 217.064
portlandtrailblazers 1677.95 312.047
charlottehornets 1659.22 327.027
dallasmavericks 1599.69 134.766
utahjazz 1534.09 258.101
memphisgrizzlies 1485.01 245.463
washingtonwizards 1422.32 242.194
houstonrockets 1415.99 232.19
detroitpistons 1406.78 329.67
orlandomagic 1399.77 336.816
chicagobulls 1290.12 314.103
16762.8
WINNING CREATURE
goldenstatewarriors 2373.73 295.721
sanantoniospurs 2211.02 291.094
oklahomacitythunder 2118.32 218.662
clevelandcavaliers 2105.04 311.39
losangelesclippers 2045.94 227.877
torontoraptors 2002.08 306.829
atlantahawks 1966.25 116.487
portlandtrailblazers 1779.06 268.296
indianapacers 1755.68 250.02
bostonceltics 1749.48 235.899
miamiheat 1745.15 344.485
charlottehornets 1676.03 282.249
dallasmavericks 1548.58 177.942
utahjazz 1542.06 263.182
memphisgrizzlies 1503.39 278.629
detroitpistons 1458.57 302.127
washingtonwizards 1447.01 236.466
orlandomagic 1442.93 249.9
houstonrockets 1391.54 222.483
chicagobulls 1328.69 269.128
16776.1
WINNING CREATURE
goldenstatewarriors 2597.45 250.269
sanantoniospurs 2153.9 255.063
torontoraptors 2123.37 309.016
oklahomacitythunder 2084.54 228.798
clevelandcavaliers 2077.09 277.776
losangelesclippers 1896.46 205.094
atlantahawks 1879.55 192.889
miamiheat 1760.48 358.129
indianapacers 1750.97 281.674
bostonceltics 1731.63 241.192
portlandtrailblazers 1724.9 314.522
charlottehornets 1641.4 296.148
