
WINNING CREATURE
detroitpistons 2264.87 226.693
losangeleslakers 2076.76 264.778
utahjazz 2041.76 307.822
phoenixsuns 1944.85 201.923
houstonrockets 1934.37 213.061
sanantoniospurs 1933.84 323.51
orlandomagic 1933.4 21.2265
neworleanspelicans 1891.4 239.838
denvernuggets 1882.45 262.436
dallasmavericks 1825.45 308.174
goldenstatewarriors 1707.68 217.041
washingtonwizards 1504.27 209.425
torontoraptors 1503.09 253.298
sacramentokings 1482.49 276
philadelphiassers 1472.21 194.071
portlandtrailblazers 1462.96 306.052
clevelandcavaliers 1432.65 199.85
indianapacers 1308.55 202.614
brooklynnets 1228.66 307.93
17622.2
