
WINNING CREATURE
detroitpistons 2469.47 242.453
dallasmavericks 2377.95 204.403
sanantoniospurs 2316.8 176.311
phoenixsuns 2056.19 183.284
clevelandcavaliers 1909.21 310.057
miamiheat 1832.1 200.365
indianapacers 1782.76 249.445
brooklynnets 1732.31 314.446
losangeleslakers 1710.86 307.629
memphisgrizzlies 1670.63 295.112
losangelesclippers 1668.88 417.597
utahjazz 1612.55 130.588
denvernuggets 1606.02 288.559
sacramentokings 1598.77 314.248
chicagobulls 1494.39 198.182
neworleanspelicans 1390.7 265.19
milwaukeebucks 1389.22 164.879
washingtonwizards 1383.6 248.232
goldenstatewarriors 1355.45 114.273
minnesotatimberwolves 1319.56 382.109
16866.2
WINNING CREATURE
detroitpistons 2399.47 245.403
sanantoniospurs 2278.03 199.48
dallasmavericks 2210 276.152
phoenixsuns 2098.44 189.534
clevelandcavaliers 1860.32 312.84
brooklynnets 1827.42 272.954
miamiheat 1806 244.475
memphisgrizzlies 1751.53 258.826
losangeleslakers 1747.88 347.113
losangelesclippers 1711.39 312.217
sacramentokings 1658.11 331.684
indianapacers 1640.58 338.999
denvernuggets 1609.16 249.645
utahjazz 1581.48 222.427
chicagobulls 1502.95 246.725
neworleanspelicans 1419.46 292.438
milwaukeebucks 1405.87 137.66
washingtonwizards 1404.85 270.086
minnesotatimberwolves 1354.2 311.279
goldenstatewarriors 1309.64 223.764
16868.9
WINNING CREATURE
detroitpistons 2569.26 160.655
sanantoniospurs 2280.71 224.987
dallasmavericks 2225.74 253.758
phoenixsuns 2009.61 231.42
brooklynnets 1883.24 281.083
clevelandcavaliers 1870.17 263.745
miamiheat 1811.08 185.041
memphisgrizzlies 1730.52 305.054
losangeleslakers 1727.32 285.6
losangelesclippers 1707.54 285.499
indianapacers 1698.15 293.453
sacramentokings 1607.67 304.087
denvernuggets 1561.7 257.422
utahjazz 1529.35 151.126
chicagobulls 1492.5 206.604
neworleanspelicans 1400.6 285.05
milwaukeebucks 1386.06 213.327
washingtonwizards 1364.31 270.392
orlandomagic 1311.84 248.411
minnesotatimberwolves 1273.03 342.437
16876.1
WINNING CREATURE
detroitpistons 2444.28 265.118
sanantoniospurs 2379.09 185.759
dallasmavericks 2287.83 318.134
phoenixsuns 2012.41 218.538
brooklynnets 1869.86 249.85
clevelandcavaliers 1802.38 305.27
miamiheat 1761.48 265.261
losangeleslakers 1739.11 293.514
losangelesclippers 1723.07 263.179
indianapacers 1719.25 268.014
memphisgrizzlies 1719.05 307.78
sacramentokings 1616.03 308.681
denvernuggets 1551.07 231.719
utahjazz 1544.51 168.984
chicagobulls 1529.85 208.066
washingtonwizards 1445.41 293.128
neworleanspelicans 1425.51 326.21
milwaukeebucks 1408.93 203.568
minnesotatimberwolves 1350.02 294.503
orlandomagic 1313.56 302.623
16871.7
WINNING CREATURE
detroitpistons 2572.15 172.091
sanantoniospurs 2392.01 160.155
dallasmavericks 2187.16 192.535
phoenixsuns 1978.22 288.559
clevelandcavaliers 1930 305.926
miamiheat 1886.12 176.525
indianapacers 1766.75 311.917
brooklynnets 1763.75 301.537
losangeleslakers 1711.57 309.295
memphisgrizzlies 1703.08 329.519
losangelesclippers 1692.81 268.902
denvernuggets 1643.44 246.439
utahjazz 1618.14 165.888
sacramentokings 1604.51 291.719
chicagobulls 1591.86 142.104
neworleanspelicans 1434.39 262.449
milwaukeebucks 1395.28 139.614
washingtonwizards 1379.19 232.906
minnesotatimberwolves 1346.34 325.831
orlandomagic 1304.52 272.361
16868.2
WINNING CREATURE
detroitpistons 2596.01 192.107
sanantoniospurs 2301.81 202.199
dallasmavericks 2204.65 324.479
