
WINNING CREATURE
phoenixsuns 2002.63 233.421
brooklynnets 1864.32 262.02
clevelandcavaliers 1854.03 338.927
indianapacers 1740.02 258.851
miamiheat 1735.24 224.749
memphisgrizzlies 1713.76 335.417
losangelesclippers 1700.83 263.275
losangeleslakers 1689.93 301.066
sacramentokings 1600.8 322.196
utahjazz 1576.2 173.422
denvernuggets 1572.8 245.216
chicagobulls 1554.87 183.186
milwaukeebucks 1407.09 199.924
neworleanspelicans 1396.14 311.003
washingtonwizards 1392.96 239.686
minnesotatimberwolves 1366.46 312.177
orlandomagic 1352.03 269.581
16872.1
WINNING CREATURE
sanantoniospurs 2260.43 193.409
detroitpistons 2238.19 297.814
dallasmavericks 2137.72 320.14
phoenixsuns 2012.36 250.231
clevelandcavaliers 1871.24 320.526
brooklynnets 1805.39 276.021
miamiheat 1784.18 220.144
losangeleslakers 1765.04 275.845
indianapacers 1756.24 268.573
memphisgrizzlies 1730.28 280.566
losangelesclippers 1704.85 288.25
utahjazz 1619.43 201.729
sacramentokings 1601.89 349.473
denvernuggets 1563.17 313.542
chicagobulls 1541.75 176.757
neworleanspelicans 1444.7 258.285
milwaukeebucks 1385.13 200.366
washingtonwizards 1370.29 272.325
minnesotatimberwolves 1321.21 308.041
houstonrockets 1307.81 110.318
16879.5
WINNING CREATURE
detroitpistons 2508.76 290.28
sanantoniospurs 2292.28 170.751
dallasmavericks 2246.34 266.366
phoenixsuns 2034.29 274.899
brooklynnets 1840.19 358.85
clevelandcavaliers 1816.34 318.394
miamiheat 1767.35 230.833
losangeleslakers 1739.85 344.056
losangelesclippers 1738.24 288.177
memphisgrizzlies 1731.97 273.755
indianapacers 1710.76 239.421
utahjazz 1603.24 185.545
sacramentokings 1602.96 351.717
denvernuggets 1600.55 302.031
chicagobulls 1572.43 120.367
neworleanspelicans 1427.97 265.174
milwaukeebucks 1394.71 165.496
washingtonwizards 1323.26 285.658
bostonceltics 1295.76 176.035
minnesotatimberwolves 1287.77 332.312
16864.3
WINNING CREATURE
detroitpistons 2307.85 272.286
dallasmavericks 2238.46 235.448
sanantoniospurs 2214.55 181.552
phoenixsuns 2042.24 241.889
miamiheat 1897.25 146.256
clevelandcavaliers 1857.45 314.261
brooklynnets 1770.45 294.411
indianapacers 1736.17 302.601
memphisgrizzlies 1735.99 281.828
losangeleslakers 1716.51 326.353
losangelesclippers 1691.8 288.794
sacramentokings 1613.96 314.314
chicagobulls 1583.74 179.429
utahjazz 1555.66 225.631
denvernuggets 1550.73 279.355
milwaukeebucks 1442.18 142.477
neworleanspelicans 1414.14 270.736
washingtonwizards 1387.91 294.855
minnesotatimberwolves 1303.1 288.465
orlandomagic 1291.55 308.137
16882
WINNING CREATURE
detroitpistons 2595.09 197.028
sanantoniospurs 2263.25 244.985
dallasmavericks 2164.25 356.299
phoenixsuns 1954.88 271.694
clevelandcavaliers 1935.22 314.718
miamiheat 1816.82 248.493
indianapacers 1789.33 275.358
brooklynnets 1786.8 274.217
losangeleslakers 1745.97 282.34
losangelesclippers 1719.64 254.032
memphisgrizzlies 1697.06 303.886
sacramentokings 1639.19 310.004
chicagobulls 1571.9 190.478
utahjazz 1545.99 167.15
denvernuggets 1531.2 274.741
neworleanspelicans 1422.38 355.442
milwaukeebucks 1400.81 137.015
minnesotatimberwolves 1310.45 405.902
washingtonwizards 1307.37 281.143
orlandomagic 1283.04 301.29
16862.4
